NG,,,,,,,Defense,,,,,,,,,Damage Negation,,,,,,,,,Resistances,,,,,,,,Incoming Status Damage Multipliers,,,,,,Poise,,,,,"Enemy ""Part"" Damage Multipliers",,,,,,,,,
Location,Name,ID,,Health,dlcClear,,Phys,Strike,Slash,Pierce,Magic,Fire,Ltng,Holy,,Phys,Strike,Slash,Pierce,Magic,Fire,Ltng,Holy,,Poison,Scarlet Rot,Bleed,Frost,Sleep,Madness,Deathblight,,Bleed,Frost,Sleep,Madness,HP Burn Effect,,Base,Incoming Mult,Effective,Regen Delay,,Part 1,Part 2,Part 3,Part 4,Part 5,Part 6,Part 7,Part 8,Weak Part,Parts Damage Type
Caelid - Redmane Castle,Ballista,81000041,,"1,825",-,,110,110,110,110,110,110,110,110,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,504.95,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Blaidd the Half-Wolf,20109040,,"3,175",-,,109,109,109,109,109,109,109,109,,10,10,10,0,40,0,20,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Commoner (Sword),36600041,,282,-,,110,110,110,110,110,110,110,110,,-10,-10,-10,-10,-20,-20,-20,0,,134,134,179,179,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Crimson Teardrop Scarab,41910041,,413,-,,110,110,110,110,110,110,110,110,,10,10,35,35,40,40,40,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Crucible Knight (Greatsword) [Boss],25000941,,"4,515",-,,110,110,110,110,110,110,110,110,,35,35,35,35,40,20,20,40,,539,539,Immune,539,539,Immune,Immune,,1,0.7,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Dragon-faced Flamethrower,81100041,,"1,185",-,,110,110,110,110,110,110,110,110,,35,10,35,35,40,40,40,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,504.95,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Giant Ballista,81010041,,"1,825",-,,110,110,110,110,110,110,110,110,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,504.95,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Iron Fist Alexander,44909540,,"1,080",-,,109,109,109,109,109,109,109,109,,10,-40,35,35,0,20,20,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,1
Caelid - Redmane Castle,Lion Guardian,42700041,,"3,440",-,,110,110,110,110,110,110,110,110,,0,0,-10,0,0,-20,0,0,,329,329,539,539,239,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Mad Pumpkin Head (Hammer),43401041,,"1,564",-,,110,110,110,110,110,110,110,110,,0,10,-10,0,0,0,-20,0,,239,239,179,179,329,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,0.2,1
Caelid - Redmane Castle,Misbegotten Warrior [Boss],34600941,,"3,569",-,,110,110,110,110,110,110,110,110,,10,10,0,10,20,0,20,20,,329,329,329,329,329,Immune,Immune,,0.7,0.7,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Noble's Page,37030041,,948,-,,110,110,110,110,110,110,110,110,,0,10,0,0,0,0,0,0,,179,179,239,239,239,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Foot Soldier,43740041,,395,-,,110,110,110,110,110,110,110,110,,0,0,0,-10,0,20,-20,0,,134,134,179,179,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Foot Soldier,43740541,,395,-,,110,110,110,110,110,110,110,110,,0,0,0,-10,0,20,-20,0,,134,134,179,179,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Foot Soldier,43741441,,395,-,,110,110,110,110,110,110,110,110,,0,0,0,-10,0,20,-20,0,,134,134,179,179,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Foot Soldier,43741541,,395,-,,110,110,110,110,110,110,110,110,,0,0,0,-10,0,20,-20,0,,134,134,179,179,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Foot Soldier,43741841,,395,-,,110,110,110,110,110,110,110,110,,0,0,0,-10,0,20,-20,0,,134,134,179,179,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Foot Soldier,43742041,,395,-,,110,110,110,110,110,110,110,110,,0,0,0,-10,0,20,-20,0,,134,134,179,179,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Foot Soldier,43746041,,395,-,,110,110,110,110,110,110,110,110,,0,0,0,-10,0,20,-20,0,,134,134,179,179,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Foot Soldier,43747041,,395,-,,110,110,110,110,110,110,110,110,,0,0,0,-10,0,20,-20,0,,134,134,179,179,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Soldier,43140041,,516,-,,110,110,110,110,110,110,110,110,,0,0,10,-10,0,20,-20,0,,239,239,239,239,239,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Soldier,43140341,,516,-,,110,110,110,110,110,110,110,110,,0,0,10,-10,0,20,-20,0,,239,239,239,239,239,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Soldier,43141141,,516,-,,110,110,110,110,110,110,110,110,,0,0,10,-10,0,20,-20,0,,239,239,239,239,239,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Radahn Soldier,43143041,,516,-,,110,110,110,110,110,110,110,110,,0,0,10,-10,0,20,-20,0,,239,239,239,239,239,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Redmane Kngiht,43540041,,"1,548",-,,110,110,110,110,110,110,110,110,,10,10,35,0,20,40,0,20,,239,239,329,329,239,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Redmane Kngiht,43541041,,"1,548",-,,110,110,110,110,110,110,110,110,,10,10,35,0,20,40,0,20,,239,239,329,329,239,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Small Living Mass,41700141,,739,-,,110,110,110,110,110,110,110,110,,80,80,80,80,40,-40,40,40,,539,539,239,239,Immune,Immune,Immune,,1,1,1,1,1,,120,1,120,9.231,,1,1,1,1,1,1,1,1,1.5,1
Caelid - Redmane Castle,Starved Dog,41610041,,435,-,,110,110,110,110,110,110,110,110,,-10,-10,-40,-10,-20,-40,-20,-20,,179,179,179,239,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle,Troll Knight,46003041,,"5,109",-,,110,110,110,110,110,110,110,110,,0,0,-10,0,0,20,0,0,,239,239,239,329,42,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,2,1
Caelid - Redmane Castle South Cliffside,Ash Teardrop Scarab,41912041,,413,-,,110,110,110,110,110,110,110,110,,10,10,35,35,40,40,40,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle South Cliffside,Bat Harpy,42017441,,"1,322",-,,110,110,110,110,110,110,110,110,,-10,-10,-40,-10,0,0,0,0,,239,239,239,239,179,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Redmane Castle South Cliffside,Giant Bat,42000141,,338,-,,110,110,110,110,110,110,110,110,,-10,-10,-40,-10,-20,-20,-20,-20,,179,179,179,179,42,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - Smoldering Church, Rotview Balcony",Erdtree Guardian,36502040,,353,-,,109,109,109,109,109,109,109,109,,0,10,-10,0,0,-20,40,40,,534,326,237,178,178,Immune,Immune,,1,1,1,1,1,,55,1,55,4.231,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - Smoldering Church, Rotview Balcony",Mushroom Dog,41670040,,389,-,,109,109,109,109,109,109,109,109,,-10,-10,-40,-10,-20,-100,-20,-20,,326,326,178,237,178,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - Smoldering Church, Rotview Balcony",Putrid Corpse,36616040,,904,-,,109,109,109,109,109,109,109,109,,-40,-40,-40,-40,-40,-100,-40,-40,,178,237,133,133,133,Immune,Immune,,1,1,1,1,1,,50,1,50,3.846,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - Smoldering Church, Rotview Balcony",Scarlet Putrid Corpse,36626040,,"1,506",-,,109,109,109,109,109,109,109,109,,-40,-40,-40,-40,-40,-100,-40,-40,,178,237,133,133,133,Immune,Immune,,1,1,1,1,1,,55,1,55,4.231,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - Smoldering Church, Rotview Balcony",Starved Dog,41610040,,389,-,,109,109,109,109,109,109,109,109,,-10,-10,-40,-10,-20,-40,-20,-20,,178,178,178,237,178,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - Smoldering Church, Rotview Balcony",Wandering Noble (Ghost),43009340,,204,-,,109,109,109,109,109,109,109,109,,-10,-10,-10,-10,-20,-20,-20,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - Smoldering Wall, Abandoned Cave Entrance",Abductor Virgin (Scythe),44700040,,"3,411",-,,109,109,109,109,109,109,109,109,,10,0,10,10,0,20,-20,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,65,0,∞,5,,1,1,1,1,1,1,1,1,2,1
"Caelid - Smoldering Wall, Abandoned Cave Entrance",Finger Reader Crone,21601040,,"2,170",-,,109,109,109,109,109,109,109,109,,0,0,0,0,0,-20,0,0,,237,237,237,237,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - Smoldering Wall, Abandoned Cave Entrance",Flamethrower Tank,44608840,,"1,053",-,,109,109,109,109,109,109,109,109,,10,0,10,10,20,40,20,20,,534,534,326,534,237,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1
"Caelid - Smoldering Wall, Abandoned Cave Entrance",Lookout Stone,44300040,,418,-,,109,109,109,109,109,109,109,109,,35,10,35,35,40,40,40,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,2,0
"Caelid - Smoldering Wall, Abandoned Cave Entrance",Lookout Stone,44301040,,418,-,,109,109,109,109,109,109,109,109,,35,10,35,35,40,40,40,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,2,0
"Caelid - Smoldering Wall, Abandoned Cave Entrance",Orb of Many Faces,37300040,,"1,426",-,,109,109,109,109,109,109,109,109,,10,10,35,80,80,40,40,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - Smoldering Wall, Abandoned Cave Entrance",Putrid Corpse,36619040,,904,-,,109,109,109,109,109,109,109,109,,-40,-40,-40,-40,-40,-40,-40,-40,,133,133,133,133,133,Immune,Immune,,1,1,1,1,1,,50,1,50,3.846,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - Smoldering Wall, Abandoned Cave Entrance",Runebear,46300240,,"6,219",-,,109,109,109,109,109,109,109,109,,0,0,-10,0,0,-20,0,0,,326,326,534,534,178,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Caelid - South Great-Jar Area,Gull,60700040,,27,-,,100,100,100,100,100,100,100,100,,-40,-40,-40,-40,-40,-100,-40,-40,,63,63,63,63,63,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
Caelid - South Great-Jar Area,Living Jar (Huge),44920040,,0,-,,109,109,109,109,109,109,109,109,,100,100,100,100,100,100,100,100,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,1
Caelid - Southern Aeonia Swamp Bank,Abductor Virgin,44702000,,"1,418",-,,100,100,100,100,100,100,100,100,,10,0,10,10,0,20,-20,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,65,0,∞,5,,1,1,1,1,1,1,1,1,2,1
Caelid - Southern Aeonia Swamp Bank,Avionette,38600040,,416,-,,109,109,109,109,109,109,109,109,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
Caelid - Southern Aeonia Swamp Bank,Avionette,38601040,,416,-,,109,109,109,109,109,109,109,109,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
Caelid - Southern Aeonia Swamp Bank,Death Rite Bird [Boss],49801040,,"7,952",-,,111,111,111,111,111,111,111,111,,10,-40,10,35,20,20,40,-40,,Immune,543,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,120,1,120,9.231,,1,1,1,1,1,1,1,1,1.5,1
Caelid - Southern Aeonia Swamp Bank,Marionette,38500040,,430,-,,109,109,109,109,109,109,109,109,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
Caelid - Southern Aeonia Swamp Bank,Marionette,38501140,,430,-,,109,109,109,109,109,109,109,109,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
Caelid - Southern Aeonia Swamp Bank,Marionette,38502040,,430,-,,109,109,109,109,109,109,109,109,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
Caelid - Southern Aeonia Swamp Bank,Night's Cavalry (Flail) [Boss],31501040,,"3,269",-,,111,111,111,111,111,111,111,111,,35,35,35,10,40,40,20,40,,332,332,543,543,Immune,Immune,Immune,,0.7,0.7,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Southern Aeonia Swamp Bank,Night's Cavalry Horse,31600040,,"3,539",-,,111,111,111,111,111,111,111,111,,10,10,0,10,20,20,20,20,,332,332,332,332,Immune,Immune,Immune,,0.7,0.7,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Southern Aeonia Swamp Bank,Nomad Mule,32102340,,"1,797",-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,0,-20,0,0,,237,237,326,326,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Southern Aeonia Swamp Bank,Nomadic Merchant,32002340,,"3,084",-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,0,0,0,0,,237,237,237,326,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Southern Aeonia Swamp Bank,Turtle,60900040,,378,-,,100,100,100,100,100,100,100,100,,35,0,35,0,-40,-100,-40,-40,,63,63,63,63,63,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,2,1,1,1,1,1,1,1,1.5,1
Caelid - Southwest of Caelid Highway South,Monstrous Dog,45503040,,"1,607",-,,109,109,109,109,109,109,109,109,,-10,-10,-40,-10,-20,-40,-20,-20,,178,178,178,237,Immune,Immune,Immune,,1,1,1,1,1,,50,1,50,3.846,,1,1,1,1,1,1,1,1,1.5,1
Caelid - Southwest of Caelid Highway South,Redmane Kngiht,43541140,,"1,385",-,,109,109,109,109,109,109,109,109,,10,10,35,0,20,40,0,20,,237,237,326,326,237,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Caelid - Southwest of Caelid Highway South,Redmane Knight's Horse,43640040,,"1,077",-,,109,109,109,109,109,109,109,109,,0,0,-10,0,0,20,0,0,,237,237,237,237,237,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West Aeonia Swamp,Cleanrot Knight (Sickle),38001040,,"1,051",-,,109,109,109,109,109,109,109,109,,10,10,35,0,20,-20,0,40,,534,Immune,326,326,237,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West Aeonia Swamp,Cleanrot Knight (Spear),38000040,,"1,051",-,,109,109,109,109,109,109,109,109,,10,10,35,0,20,-20,0,40,,534,Immune,326,326,237,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West Aeonia Swamp,Dragonfly,60820040,,17,-,,100,100,100,100,100,100,100,100,,-40,-40,-10,-40,-40,-100,-40,-40,,Immune,Immune,63,20,63,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West Aeonia Swamp,Nomad Mule,32102240,,"1,797",-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,0,-20,0,0,,237,237,326,326,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West Aeonia Swamp,Nomadic Merchant,32002240,,"3,084",-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,0,0,0,0,,237,237,237,326,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West Aeonia Swamp,Wandering Noble (Ghost),43009240,,204,-,,109,109,109,109,109,109,109,109,,-10,-10,-10,-10,-20,-20,-20,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West of Caelid Highway South,Large Mushroom Dog,41660040,,813,-,,109,109,109,109,109,109,109,109,,-10,-10,-40,-10,-20,-100,-20,-20,,326,326,178,237,178,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West of Caelid Highway South,Troll Knight,46003140,,"4,573",-,,109,109,109,109,109,109,109,109,,0,0,-10,0,0,20,0,0,,237,237,237,326,42,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,2,1
Caelid - West of Caelid Highway South,Wandering Noble,43000040,,204,-,,109,109,109,109,109,109,109,109,,-10,-10,-10,-10,-20,-20,-20,0,,133,133,178,178,178,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West of Caelid Highway South,Wandering Noble,43000140,,204,-,,109,109,109,109,109,109,109,109,,-10,-10,-10,-10,-20,-20,-20,0,,133,133,178,178,178,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West of Caelid Highway South,Wandering Noble,43000240,,204,-,,109,109,109,109,109,109,109,109,,-10,-10,-10,-10,-20,-20,-20,0,,133,133,178,178,178,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid - West of Caelid Highway South,Wandering Noble,43001240,,204,-,,109,109,109,109,109,109,109,109,,-10,-10,-10,-10,-20,-20,-20,0,,133,133,178,178,178,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Battlemage Hugues [Boss],37040940,,"4,095",-,,111,111,111,111,111,111,111,111,,0,10,0,0,40,20,20,0,,181,181,241,241,241,Immune,Immune,,0.7,0.7,0.7,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,0.5,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Cerulean Huge Teardrop Scarab,41921042,,"1,812",-,,120,120,120,120,120,120,120,120,,10,10,35,35,40,40,40,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Crimson Huge Teardrop Scarab,41920040,,652,-,,109,109,109,109,109,109,109,109,,10,10,35,35,40,40,40,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Lesser Dragon,45050042,,"6,815",-,,120,120,120,120,120,120,120,120,,35,35,35,10,40,40,40,40,,574,574,574,574,Immune,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,1
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Marionette,38501040,,430,-,,109,109,109,109,109,109,109,109,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Marionette,38501240,,430,-,,109,109,109,109,109,109,109,109,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Nox Priest [Boss],33000940,,"1,631",-,,109,109,109,109,109,109,109,109,,0,0,-10,0,20,0,0,-20,,326,326,326,326,237,Immune,Immune,,0.7,0.7,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Nox Swordstress [Boss],33001940,,"1,631",-,,109,109,109,109,109,109,109,109,,0,0,-10,0,20,0,0,-20,,326,326,326,326,237,Immune,Immune,,0.7,0.7,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Raya Lucaria Scholar,37020040,,440,-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,40,20,20,0,,Immune,Immune,Immune,Immune,237,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Raya Lucaria Scholar,37023140,,642,-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,40,20,20,0,,Immune,Immune,Immune,Immune,237,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Skeleton (Curved Sword),35000040,,356,-,,109,109,109,109,109,109,109,109,,0,-40,10,35,0,20,40,-40,,Immune,237,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,0,1,1,1,1,1,1,1,1.5,0
"Caelid - West Sellia, Sellia Crystal Tunnel Entrance",Wandering Noble,43002140,,204,-,,109,109,109,109,109,109,109,109,,-10,-10,-10,-10,-20,-20,-20,0,,Immune,Immune,Immune,Immune,178,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Caelid Catacombs,Cemetery Shade [Boss],36640040,,"1,467",-,,109,109,109,109,109,109,109,109,,10,10,10,35,0,0,0,-20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,70,1,70,5.385,,1,1,1,1,1,1,1,1,1.5,0
Caelid Catacombs,Fading Giant Miranda Sprout,44820040,,"4,665",-,,109,109,109,109,109,109,109,109,,0,35,-40,0,-20,-100,20,20,,"1,150",Immune,534,133,237,Immune,Immune,,1,1,1,1,1,,100,1,100,7.692,,1,1,1,1,1,1,1,1,1.5,1
Caelid Catacombs,Fading Miranda Sprout,44830040,,288,-,,109,109,109,109,109,109,109,109,,-10,10,-40,-10,0,-100,40,40,,"1,150",Immune,534,133,237,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,1
Caelid Catacombs,Fading Miranda Sprout,44831040,,288,-,,109,109,109,109,109,109,109,109,,-10,10,-40,-10,0,-100,40,40,,"1,150",Immune,534,133,237,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,1
Caelid Catacombs,Skeleton (Scimitar),35101040,,676,-,,109,109,109,109,109,109,109,109,,0,-40,10,35,0,20,40,-40,,Immune,237,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,35,1,35,2.692,,1,1,1,1,1,1,1,1,1.5,0
Caelid Catacombs,Skeleton (Scimitar),35102040,,676,-,,109,109,109,109,109,109,109,109,,0,-40,10,35,0,20,40,-40,,Immune,237,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
"Capital Outskirts - Capital Rampart, Auriza Side Tomb Entrance",Bear,60310033,,681,-,,100,100,100,100,100,100,100,100,,-40,-40,-40,-40,-40,-100,-40,-40,,63,63,63,63,63,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
